iter	Logloss
0	0.6554594734
1	0.6238783931
2	0.5971196756
3	0.5730180287
4	0.5536173931
5	0.5354868429
6	0.5206672629
7	0.5078560443
8	0.4971342208
9	0.4886723295
10	0.4809821513
11	0.4741875424
12	0.4686973692
13	0.4635592819
14	0.4592549296
15	0.4558988874
16	0.4529363948
17	0.4501678802
18	0.4476135522
19	0.4454594443
20	0.443117576
21	0.4414822965
22	0.4398397203
23	0.4384669726
24	0.4371473118
25	0.4358163531
26	0.434562504
27	0.4335907153
28	0.4330035631
29	0.4321494474
30	0.431602155
31	0.4310951984
32	0.4304978604
33	0.4298634213
34	0.4294049361
35	0.4288636
36	0.428284162
37	0.4277737037
38	0.4274610166
39	0.4271265699
40	0.4266638021
41	0.4262211287
42	0.4259549359
43	0.4256868556
44	0.4253321701
45	0.4249869858
46	0.4246572405
47	0.4244347983
48	0.4240451716
49	0.4237131683
50	0.4235218482
51	0.4232172376
52	0.4229766738
53	0.4228477098
54	0.4225845118
55	0.4223587979
56	0.4221191872
57	0.4217668393
58	0.4216442878
59	0.4214656134
60	0.4211942264
61	0.4209422161
62	0.4206322599
63	0.4203856882
64	0.4200908788
65	0.4198049502
66	0.4196507386
67	0.4196344207
68	0.4194313361
69	0.4192045051
70	0.4189699322
71	0.4186880013
72	0.4185635459
73	0.4185635383
74	0.4183092389
75	0.4181276996
76	0.4180314532
77	0.4179037996
78	0.417749769
79	0.417592598
80	0.4174529777
81	0.4173156724
82	0.4170454278
83	0.4169739944
84	0.416822591
85	0.4167121347
86	0.4166654629
87	0.416498753
88	0.4162706026
89	0.4161988943
90	0.4160772545
91	0.4159229028
92	0.4158161218
93	0.4156120839
94	0.415441457
95	0.4152881982
96	0.415101143
97	0.4149937536
98	0.4148874662
99	0.4148082943
100	0.4146228045
101	0.4145184481
102	0.4144041234
103	0.4142388289
104	0.4140851593
105	0.4138626619
106	0.413609159
107	0.4134175991
108	0.4133810532
109	0.4133431737
110	0.4132758849
111	0.4131040662
112	0.413000362
113	0.4129377853
114	0.4127864118
115	0.4126508419
116	0.4125611874
117	0.4124424863
118	0.4122606197
119	0.4122259575
120	0.4121154585
121	0.4120907137
122	0.4118859788
123	0.411790116
124	0.4117793112
125	0.4116479229
126	0.4115377573
127	0.4113459804
128	0.4112093381
129	0.4110625199
130	0.4109759985
131	0.4108785398
132	0.4106687
133	0.4106340872
134	0.4105261817
135	0.4103501432
136	0.4102180799
137	0.4100411352
138	0.4098048952
139	0.4097104616
140	0.4094874514
141	0.409313418
142	0.4091614363
143	0.4090597811
144	0.4089884316
145	0.4089289743
146	0.4088166965
147	0.4085953106
148	0.4084062061
149	0.408259235
150	0.4081321334
151	0.4079936524
152	0.4077650102
153	0.4076672435
154	0.4075944145
155	0.4075343894
156	0.4073377893
157	0.4071327787
158	0.4068575546
159	0.4067406808
160	0.4065475435
161	0.4063780863
162	0.40618374
163	0.4060236518
164	0.4059317663
165	0.4058543892
166	0.4056177691
167	0.4054247174
168	0.4051683187
169	0.4050238425
170	0.4048017861
171	0.4047725431
172	0.4045858886
173	0.4044722265
174	0.4041840196
175	0.4039960376
176	0.4037158258
177	0.403556748
178	0.4033800705
179	0.4032057142
180	0.4031632434
181	0.4031146627
182	0.4028703901
183	0.4026970583
184	0.4024423625
185	0.4021749619
186	0.4020378838
187	0.4018745389
188	0.4018083765
189	0.4017730388
190	0.4016779924
191	0.4015359331
192	0.4013721527
193	0.401271199
194	0.4012502045
195	0.4012051234
196	0.4010370149
197	0.4007571407
198	0.4005643175
199	0.4004362925
200	0.4002906093
201	0.4000597141
202	0.3998299058
203	0.3997337716
204	0.3995938943
205	0.3993166603
206	0.3991681718
207	0.3990257002
208	0.3989887283
209	0.398822939
210	0.3986516908
211	0.3984412022
212	0.3982488581
213	0.3981756967
214	0.3980217688
215	0.3979114259
216	0.3976414263
217	0.3974143575
218	0.3972611904
219	0.397172466
220	0.3969310875
221	0.396744737
222	0.3966021824
223	0.3964756595
224	0.3962757686
225	0.3961766496
226	0.3961518244
227	0.3959836499
228	0.3958957755
229	0.3956130469
230	0.395499621
231	0.39533692
232	0.3950725196
233	0.3949714293
234	0.3947395701
235	0.394669021
236	0.3945454259
237	0.3945420455
238	0.3944618146
239	0.3943586718
240	0.3943396501
241	0.3941904597
242	0.3941339937
243	0.3939748516
244	0.3938615752
245	0.3937560638
246	0.3936506147
247	0.3934848745
248	0.3933466808
249	0.393232574
250	0.3930518389
251	0.3928381745
252	0.3927726034
253	0.3926366565
254	0.3925385572
255	0.3924216186
256	0.3922442666
257	0.3921888451
258	0.3921752725
259	0.3920782047
260	0.3919323835
261	0.3917400872
262	0.3916014745
263	0.3914445193
264	0.3913576815
265	0.3912479573
266	0.391181179
267	0.391013026
268	0.3908548375
269	0.3907830402
270	0.3905980921
271	0.3904205598
272	0.3903817485
273	0.3902889339
274	0.3901593388
275	0.3899689389
276	0.3898038468
277	0.3897047064
278	0.3896725037
279	0.3895299063
280	0.3893659349
281	0.3892691485
282	0.3890845132
283	0.3889854686
284	0.3889038022
285	0.388695149
286	0.3886047383
287	0.3884319183
288	0.3882883133
289	0.3882667497
290	0.3881595298
291	0.3880464921
292	0.3879776478
293	0.3878828063
294	0.3876816612
295	0.3875820625
296	0.3874807067
297	0.3873116232
298	0.3871842889
299	0.3869239649
300	0.3867800429
301	0.3866604183
302	0.3865188651
303	0.3864577752
304	0.3862946969
305	0.3861294853
306	0.3860229933
307	0.3858675362
308	0.3856322532
309	0.385558036
310	0.3855216648
311	0.3854957552
312	0.3854257772
313	0.3853113469
314	0.3851198254
315	0.3849723265
316	0.3848776031
317	0.3847856924
318	0.3847039048
319	0.3845623677
320	0.3844943287
321	0.3843774893
322	0.3842364817
323	0.3840901939
324	0.3839761451
325	0.383824686
326	0.3836311572
327	0.3834155184
328	0.3833268816
329	0.3832491945
330	0.3831890527
331	0.3830395738
332	0.3828275486
333	0.3826829592
334	0.3825502571
335	0.382446548
336	0.3823432393
337	0.3822622539
338	0.3820973732
339	0.3818972872
340	0.3818258626
341	0.3817614981
342	0.3816676927
343	0.3815335224
344	0.3813008414
345	0.3812131567
346	0.3811518668
347	0.3810457647
348	0.3809496343
349	0.3808525617
350	0.3808184064
351	0.3807103279
352	0.3805828144
353	0.380405791
354	0.3803651942
355	0.3801419665
356	0.3799592543
357	0.3798404041
358	0.3797190152
359	0.3795772624
360	0.3794758733
361	0.3793753295
362	0.3792264242
363	0.3790521729
364	0.3789744688
365	0.3788860879
366	0.3787401732
367	0.3786288841
368	0.3785919124
369	0.3785405604
370	0.3784435736
371	0.3783650252
372	0.3782578698
373	0.3781847285
374	0.3779709704
375	0.3778538436
376	0.3776941866
377	0.3775490859
378	0.3775159646
379	0.377336112
380	0.3772482397
381	0.3770413155
382	0.376811996
383	0.3766205715
384	0.3763729782
385	0.376233526
